name,frequency,operator,ref,typ,v_nom,wkt_srid_4326,x,y,control,generator
HiepHoa,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.52257596986262 52.3604090557601),105.90436399999999,21.335112,PQ,
LaiChauH,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.11321007472722 52.5438533223737),102.98425300000001,22.137909,PQ,
DongAnh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.38974509624863 52.0263130660355),105.89750500000001,21.163109,PQ,
SonLa,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.12526570294975 52.5382640870749),104.001312,21.537377,PQ,
SonLaH,50,EVN,EVN,substation,500.0,SRID=4326;POINT(10.3662749375017 52.2846467462009),103.996409,21.497521,PQ,
MongDuong1,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.91814864613865 52.3799963125719),107.346737,21.073995,PQ,
MongDuong2,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.91717971972185 52.2781686139394),107.349981,21.073477,PQ,
QuangNinh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(10.4149923381504 53.4126068830249),107.130358,21.038549,PQ,
NghiSon,50,EVN,EVN,substation,500.0,SRID=4326;POINT(10.3787705903765 53.2197927685849),105.72035600000001,19.315539,PQ,
HoaBinh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(12.9416466019288 52.5621144045848),105.32569699999999,21.812889000000002,PQ,
ThangLongT,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.2061029867985 52.6571362773373),107.01600800000001,21.022664000000002,PQ,
ThuongTin,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.7096697058228 52.5397952580643),105.854483,20.878,PQ,
PhoNoi,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.3704262486892 48.2914922329548),106.113021,20.988776,PQ,
NhoQuan,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.8132328973194 48.2212664654998),105.734524,20.314207,PQ,
HaTinh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.8681562938884 48.2068029185353),105.888208,18.251931,PQ,
VungAng,50,EVN,EVN,substation,500.0,SRID=4326;POINT(10.7610403785613 52.3677293804096),106.38660800000001,18.093526999999998,PQ,
DaNang,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.4947633747219 52.5897644435618),108.15985900000001,16.00965,PQ,
DocSoi,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.6834769666546 54.1390906406635),108.73928899999999,15.336773,Slack,DocSoi thermal
ThanhMy,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.2939727001158 48.0520427719624),107.717474,15.676198999999999,PQ,
Pleiku,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.98460982000897 53.7411287759659),107.94621200000002,14.102545000000001,PQ,
Pleiku2,50,EVN,EVN,substation,500.0,SRID=4326;POINT(10.1575015165126 53.5551316685834),107.96163200000001,13.90364,PQ,
