name,bus,capital_cost,carrier,efficiency,marginal_cost ,p_nom,p_nom_extendable,p_nom_max,weight,control 
HiepHoa thermal,HiepHoa,400,thermal,0.39,3,228,TRUE,inf,,PQ
HiepHoa solar,HiepHoa,600,solar,1,0.01,60,TRUE,122248.5859,19014.69576,PQ
HiepHoa wind,HiepHoa,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
HiepHoa hydro,HiepHoa,2000,hydro,1,0,1000,TRUE,inf,5200.39295,PQ
LaiChauH thermal,LaiChauH,400,thermal,0.39,3,0,TRUE,inf,,PQ
LaiChauH solar,LaiChauH,600,solar,1,0.01,60,TRUE,122248.5859,19014.69576,PQ
LaiChauH wind,LaiChauH,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
LaiChauH hydro,LaiChauH,2000,hydro,1,0,1500,TRUE,inf,5200.39295,PQ
DongAnh thermal,DongAnh,400,thermal,0.39,3,0,TRUE,inf,,PQ
DongAnh solar,DongAnh,600,solar,1,0.01,60,TRUE,122248.5859,19014.69576,PQ
DongAnh wind,DongAnh,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
DongAnh hydro,DongAnh,2000,hydro,1,0,0,TRUE,inf,5200.39295,PQ
SonLa thermal,SonLa,400,thermal,0.39,3,0,TRUE,inf,,PQ
SonLa solar,SonLa,600,solar,1,0.01,60,TRUE,122248.5859,19014.69576,PQ
SonLa wind,SonLa,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
SonLa hydro,SonLa,2000,hydro,1,0,2634,TRUE,inf,5200.39295,P
SonLaH thermal,SonLaH,400,thermal,0.39,3,0,TRUE,inf,,PQ
SonLaH solar,SonLaH,600,solar,1,0.01,60,TRUE,122248.5859,19014.69576,PQ
SonLaH wind,SonLaH,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
SonLaH hydro,SonLaH,2000,hydro,1,0,2400,TRUE,inf,5200.39295,PQ
MongDuong1 thermal,MongDuong1,400,thermal,0.39,3,2936,TRUE,inf,,PQ
MongDuong1 solar,MongDuong1,600,solar,1,0.01,70,TRUE,122248.5859,19014.69576,PQ
MongDuong1 wind,MongDuong1,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
MongDuong1 hydro,MongDuong1,2000,hydro,1,0,0,TRUE,inf,5200.39295,PQ
MongDuong2 thermal,MongDuong2,400,thermal,0.39,3,1242,TRUE,inf,,PQ
MongDuong2 solar,MongDuong2,600,solar,1,0.01,70,TRUE,122248.5859,19014.69576,PQ
MongDuong2 wind,MongDuong2,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
MongDuong2 hydro,MongDuong2,2000,hydro,1,0,0,TRUE,inf,5200.39295,PQ
QuangNinh thermal,QuangNinh,400,thermal,0.39,3,3240,TRUE,inf,,PQ
QuangNinh solar,QuangNinh,600,solar,1,0.01,80,TRUE,122248.5859,19014.69576,PQ
QuangNinh wind,QuangNinh,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
QuangNinh hydro,QuangNinh,2000,hydro,1,0,0,TRUE,inf,5200.39295,PQ
NghiSon thermal,NghiSon,400,thermal,0.39,3,600,TRUE,inf,,PQ
NghiSon solar,NghiSon,600,solar,1,0.01,90,TRUE,122248.5859,19014.69576,PQ
NghiSon wind,NghiSon,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
NghiSon hydro,NghiSon,2000,hydro,1,0,102,TRUE,inf,5200.39295,PQ
HoaBinh thermal,HoaBinh,400,thermal,0.39,3,0,TRUE,inf,,PQ
HoaBinh solar,HoaBinh,600,solar,1,0.01,80,TRUE,122248.5859,19014.69576,PQ
HoaBinh wind,HoaBinh,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
HoaBinh hydro,HoaBinh,2000,hydro,1,0,2462,TRUE,inf,5200.39295,PQ
ThangLongT thermal,ThangLongT,400,thermal,0.39,3,1230,TRUE,inf,,PQ
ThangLongT solar,ThangLongT,600,solar,1,0.01,70,TRUE,122248.5859,19014.69576,PQ
ThangLongT wind,ThangLongT,1182,wind,1,0.015,0,TRUE,19444.76093,5200.39295,PQ
ThangLongT hydro,ThangLongT,2000,hydro,1,0,0,TRUE,inf,5200.39295,PQ
ThuongTin thermal,ThuongTin,400,thermal,0.39,3,0,TRUE,inf,,PQ
ThuongTin solar,ThuongTin,600,solar,1,0.01,90,TRUE,122248.5859,19014.69576,PQ
